layer1,layer2,actFunc,learning,mse,mae
10,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,3.2994565963745117,1.5912857055664062
10,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.01,3.180858850479126,1.5705817937850952
10,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,2.4411227703094482,1.2781206369400024
10,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.0001,2.934830904006958,1.4751156568527222
10,10,<class 'torch.nn.modules.activation.Tanh'>,0.1,3.1864538192749023,1.566009283065796
10,10,<class 'torch.nn.modules.activation.Tanh'>,0.01,3.1823086738586426,1.56735360622406
10,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,3.181478977203369,1.5709624290466309
10,10,<class 'torch.nn.modules.activation.Tanh'>,0.0001,2.9850733280181885,1.4804280996322632
10,10,<class 'torch.nn.modules.activation.ReLU'>,0.1,3.186549425125122,1.5727307796478271
10,10,<class 'torch.nn.modules.activation.ReLU'>,0.01,2.266951560974121,1.3515362739562988
10,10,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.98689603805542,1.178682804107666
10,10,<class 'torch.nn.modules.activation.ReLU'>,0.0001,2.298269748687744,1.292130947113037
10,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,3.2014317512512207,1.5632572174072266
10,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.01,3.180206775665283,1.5687522888183594
10,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,3.1818044185638428,1.571045994758606
10,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.0001,3.071122646331787,1.5429542064666748
10,30,<class 'torch.nn.modules.activation.Tanh'>,0.1,3.290431261062622,1.5890671014785767
10,30,<class 'torch.nn.modules.activation.Tanh'>,0.01,3.185900926589966,1.5725595951080322
10,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,3.1817469596862793,1.5711010694503784
10,30,<class 'torch.nn.modules.activation.Tanh'>,0.0001,2.7973885536193848,1.4403666257858276
10,30,<class 'torch.nn.modules.activation.ReLU'>,0.1,3.1862308979034424,1.5660674571990967
10,30,<class 'torch.nn.modules.activation.ReLU'>,0.01,2.0287904739379883,1.2428184747695923
10,30,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.6682990789413452,0.9993346929550171
10,30,<class 'torch.nn.modules.activation.ReLU'>,0.0001,2.220838785171509,1.239039659500122
10,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,3.1847808361053467,1.5664751529693604
10,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.01,3.182586431503296,1.5672367811203003
10,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,2.5139424800872803,1.3036926984786987
10,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.0001,2.661912441253662,1.3917630910873413
10,50,<class 'torch.nn.modules.activation.Tanh'>,0.1,4.697299003601074,1.7601122856140137
