layer1,layer2,actFunc,learning,mse,mae
70,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3497257232666016,0.9422422051429749
50,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.3584773540496826,0.963095486164093
90,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.3810830116271973,0.944474458694458
50,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.4148584604263306,0.9558857083320618
70,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.4198029041290283,0.9473161101341248
90,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.4212257862091064,0.9227451086044312
30,90,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.4355061054229736,0.9576133489608764
70,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.4551063776016235,0.9817095398902892
90,50,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.4708716869354248,0.9706586599349976
70,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.4815188646316528,0.9548272490501404
90,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.486361742019653,0.9443784356117249
30,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.4888718128204346,0.9629313349723816
70,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.49282968044281,0.9760077595710754
90,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.4938207864761353,1.0356531143188477
70,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.4994512796401978,0.9622183442115784
30,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.512432098388672,0.9299930334091188
30,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5447710752487185,1.0286098718643188
50,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5521405935287476,0.9671791791915894
70,50,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.559907078742981,0.9828702807426452
70,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.5623953342437744,0.9257472157478333
30,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5818074941635132,0.9902146458625792
50,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.605859875679016,0.9722397923469543
50,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.6344314813613892,1.0338093042373655
90,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.639744997024536,0.9912564158439636
90,90,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.6536808013916016,1.007493495941162
10,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.6555482149124146,1.0532972812652588
30,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6562238931655884,0.980689287185669
10,30,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.6682990789413452,0.9993346929550172
90,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.677724838256836,0.974336326122284
30,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.709943771362305,1.0790200233459473
90,30,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.7292178869247437,1.004681944847107
50,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.783273220062256,1.0367850065231323
50,30,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.7893717288970947,1.0585612058639526
10,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7911028861999512,1.0916422605514526
30,30,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.8202850818634035,1.141858458518982
90,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.0001,1.8300100564956665,1.1203902959823608
70,10,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.8303288221359253,1.1059610843658447
10,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.830460906028748,1.123491287231445
50,90,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.83078134059906,1.0450122356414795
70,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.8481959104537964,1.0438967943191528
