layer1,layer2,actFunc,learning,mse,mae
100,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.7681499719619751,0.3785993456840515
100,80,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8022186756134033,0.4911845326423645
90,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8037934303283691,0.4204524755477905
90,120,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8155903816223145,0.42034512758255
60,120,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8403773307800293,0.4498403072357178
70,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8497546911239624,0.4422101378440857
100,100,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.8571097254753113,0.5126144289970398
100,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8576116561889648,0.4232455492019653
60,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8579611778259277,0.4703396558761596
100,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8611189126968384,0.437726765871048
80,50,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.8651591539382935,0.5007628202438354
90,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8680894374847412,0.5292568206787109
80,90,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.8750936388969421,0.4834271967411041
100,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8808455467224121,0.4416382312774658
60,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8823509216308594,0.5103851556777954
100,120,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8837742805480957,0.4927331805229187
50,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8895723819732666,0.4009282886981964
90,100,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8900221586227417,0.4191774427890777
70,120,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.890971302986145,0.5174592733383179
70,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8985687494277954,0.4409041404724121
70,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9042208194732666,0.4905564188957214
90,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9042426347732544,0.4187928438186645
70,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9062223434448242,0.4937914907932281
80,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9100959300994872,0.5350189208984375
80,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9120331406593324,0.449966549873352
80,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9139091968536376,0.4659954905509949
100,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9142720699310304,0.4320223331451416
80,120,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9148496389389038,0.4294732809066772
100,100,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9175370931625366,0.4314280748367309
80,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9191423654556274,0.501369833946228
50,120,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.924825131893158,0.5600662231445312
60,100,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9274630546569824,0.5596045255661011
90,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9304959774017334,0.4814984202384949
90,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9311403632164,0.4401088953018188
70,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9315433502197266,0.4190283119678497
90,100,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9339418411254884,0.5483641624450684
100,110,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.93435400724411,0.5428023338317871
60,80,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9375463724136353,0.5980970859527588
60,100,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9431103467941284,0.4831718206405639
80,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9437730312347412,0.4351428747177124
50,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.944985330104828,0.5998462438583374
60,50,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.946172535419464,0.595487117767334
60,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9465796947479248,0.5824698209762573
80,120,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.954121470451355,0.5662012696266174
70,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9555323123931884,0.5407604575157166
80,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9594505429267884,0.4906890392303467
50,120,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9599238038063048,0.4296040832996368
100,100,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.960805118083954,0.5277655124664307
90,110,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9625059962272644,0.5376620888710022
80,110,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9635025858879088,0.5364776849746704
70,100,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9636027216911316,0.5320188999176025
70,50,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9657522439956664,0.5705954432487488
50,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.966429591178894,0.4810361266136169
50,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9673342704772948,0.4888833165168762
50,100,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.968107521533966,0.4219695925712585
70,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9694654941558838,0.4748313426971435
80,110,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9697850346565248,0.5842431783676147
90,90,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.969853699207306,0.5516208410263062
60,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9698543548583984,0.439424455165863
80,80,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9719383120536804,0.5588507652282715
90,50,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9729005098342896,0.5801669359207153
70,90,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9737700819969176,0.6071537733078003
50,110,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9738202095031738,0.6479706764221191
80,100,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9775253534317015,0.4875689446926117
90,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9787294268608092,0.4458557367324829
90,100,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.980032205581665,0.5491204261779785
90,80,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9815816283226012,0.5880246758460999
50,50,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9820764064788818,0.5501366853713989
80,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.98317152261734,0.4586147367954254
70,90,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9836995601654052,0.6039263010025024
60,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9872708916664124,0.516659140586853
90,80,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9890165328979492,0.646804928779602
100,120,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9903801679611206,0.5461833477020264
90,90,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9911632537841796,0.588811457157135
90,110,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9923452734947203,0.5886458158493042
50,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9984052181243896,0.4404261708259582
80,60,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.0009018182754517,0.5958757400512695
70,80,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.005880355834961,0.5897127389907837
90,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.0065460205078125,0.4230662286281585
100,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.0094258785247805,0.4912896752357483
80,50,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.011784553527832,0.5898019075393677
90,60,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.015066146850586,0.607385516166687
60,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.0169196128845217,0.4232572913169861
60,110,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.0173649787902832,0.6155446767807007
50,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.017403483390808,0.4460991621017456
100,90,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.018344759941101,0.5484837293624878
90,60,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0203930139541626,0.5226272344589233
100,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.022639274597168,0.5834318399429321
90,120,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0245132446289062,0.5554845333099365
60,50,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.02639639377594,0.5849368572235107
100,120,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.0305242538452148,0.5129762887954712
70,110,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.030781626701355,0.6032716035842896
50,100,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.032387614250183,0.6057939529418945
60,60,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0446217060089111,0.5713545083999634
80,90,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.0456500053405762,0.6002082228660583
100,90,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0470659732818604,0.5676124095916748
60,90,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0481488704681396,0.5917933583259583
60,120,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.0488468408584597,0.6206098794937134
100,80,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0500967502593994,0.6461718082427979
70,80,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0525522232055664,0.5779697895050049
100,110,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0531940460205078,0.5535279512405396
50,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.0545330047607422,0.4854595959186554
100,70,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.055430293083191,0.5864080190658569
60,100,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0570714473724363,0.6118323802947998
70,100,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.0616586208343506,0.489004909992218
60,70,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0636277198791504,0.5309560298919678
70,70,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0666322708129885,0.6201763153076172
60,90,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.0692917108535769,0.6257535219192505
70,60,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.078136920928955,0.6211305856704712
60,120,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0788286924362185,0.6537480354309082
70,60,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.0794227123260498,0.6030086278915405
90,50,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.085130214691162,0.5832357406616211
80,80,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.0866310596466064,0.6013614535331726
100,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,1.0879632234573364,0.453309953212738
50,120,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.0887033939361572,0.6424572467803955
50,100,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0937949419021606,0.5885822772979736
80,60,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.0985007286071775,0.6105395555496216
100,60,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.1017968654632568,0.5568233728408813
90,120,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.106761455535889,0.5881158113479614
80,100,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.1105396747589111,0.6439247727394104
60,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.110560655593872,0.5561211109161377
70,120,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.1110705137252808,0.5964550971984863
60,110,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.1162490844726562,0.6471704244613647
50,60,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.1182734966278076,0.6146903038024902
70,120,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.1207373142242432,0.5512692928314209
70,50,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.1219897270202637,0.6230443716049194
90,70,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.1256422996520996,0.6316771507263184
100,50,<class 'torch.nn.modules.activation.ReLU'>,0.003,1.131983995437622,0.5871298909187317
